Name,Two-Bridge Notation,Signature,Determinant,Planar Support,Delta Values,Size of Homology,Parity
11a_54,,2,139,1,{-2},139,0.0
11a_55,,2,71,1,{-2},71,0.0
11a_57,,2,99,1,{-2},99,0.0
11a_58,,0,81,1,{0},81,0.0
11a_60,,-4,85,1,{4},85,0.0
11a_61,,-2,103,1,{2},103,0.0
11a_62,,6,55,1,{-6},55,0.0
11a_63,,4,93,1,{-4},93,0.0
11a_64,,4,97,1,{-4},97,0.0
11a_66,,2,119,1,{-2},119,0.0
11a_67,,0,125,1,{0},125,0.0
11a_68,,-2,103,1,{2},103,0.0
11a_71,,-2,159,1,{2},159,0.0
11a_72,,0,153,1,{0},153,0.0
11a_73,,0,177,1,{0},177,0.0
11a_74,,-4,73,1,{4},73,0.0
11a_76,,0,145,1,{0},145,0.0
11a_79,,2,143,1,{-2},143,0.0
11a_80,,0,137,1,{0},137,0.0
11a_81,,-2,127,1,{2},127,0.0
11a_82,,2,95,1,{-2},95,0.0
11a_83,,-4,113,1,{4},113,0.0
11a_86,,-2,91,1,{2},91,0.0
11a_88,,0,101,1,{0},101,0.0
11a_92,,2,103,1,{-2},103,0.0
11a_94,,-6,107,1,{6},107,0.0
11a_97,,-2,71,1,{2},71,0.0
11a_99,,-2,135,1,{2},135,0.0
11a_100,,-4,141,1,{4},141,0.0
11a_105,,-4,109,1,{4},109,0.0
11a_106,,0,93,1,{0},93,0.0
11a_108,,2,99,1,{-2},99,0.0
11a_109,,0,117,1,{0},117,0.0
11a_112,,0,125,1,{0},125,0.0
11a_113,,4,109,1,{-4},109,0.0
11a_118,,-2,87,1,{2},87,0.0
11a_122,,2,127,1,{-2},127,0.0
11a_124,,-6,155,1,{6},155,0.0
11a_125,,-2,175,1,{2},175,0.0
11a_126,,0,145,1,{0},145,0.0
11a_127,,-4,137,1,{4},137,0.0
11a_128,,0,129,1,{0},129,0.0
11a_129,,4,113,1,{-4},113,0.0
11a_130,,2,123,1,{-2},123,0.0
11a_131,,2,131,1,{-2},131,0.0
11a_133,,-2,79,1,{2},79,0.0
11a_134,,-2,123,1,{2},123,0.0
11a_135,,0,153,1,{0},153,0.0
11a_136,,2,163,1,{-2},163,0.0
11a_139,,-2,99,1,{2},99,0.0
11a_141,,2,103,1,{-2},103,0.0
11a_142,,6,59,1,{-6},59,0.0
11a_143,,4,89,1,{-4},89,0.0
11a_146,,2,123,1,{-2},123,0.0
11a_147,,-2,151,1,{2},151,0.0
11a_149,,-2,127,1,{2},127,0.0
11a_150,,4,125,1,{-4},125,0.0
11a_151,,2,127,1,{-2},127,0.0
11a_152,,0,117,1,{0},117,0.0
11a_153,,0,89,1,{0},89,0.0
11a_156,,2,91,1,{-2},91,0.0
11a_157,,2,135,1,{-2},135,0.0
11a_158,,2,119,1,{-2},119,0.0
11a_160,,0,145,1,{0},145,0.0
11a_161,,4,57,1,{-4},57,0.0
11a_162,,2,167,1,{-2},167,0.0
11a_163,,-2,119,1,{2},119,0.0
11a_164,,0,169,1,{0},169,0.0
11a_165,,0,81,1,{0},81,0.0
11a_167,,0,113,1,{0},113,0.0
11a_169,,0,121,1,{0},121,0.0
11a_170,,0,185,1,{0},185,0.0
11a_171,,-2,183,1,{2},183,0.0
11a_189,,0,149,1,{0},149,0.0
11a_194,,4,93,1,{-4},93,0.0
11a_196,,2,147,1,{-2},147,0.0
11a_215,,-4,133,1,{4},133,0.0
11a_216,,-2,147,1,{2},147,0.0
11a_217,,2,139,1,{-2},139,0.0
11a_218,,2,131,1,{-2},131,0.0
11a_221,,2,79,1,{-2},79,0.0
11a_222,,0,101,1,{0},101,0.0
11a_223,,-6,75,1,{6},75,0.0
11a_227,,-6,143,1,{6},143,0.0
11a_228,,0,133,1,{0},133,0.0
11a_231,,2,99,1,{-2},99,0.0
11a_232,,2,123,1,{-2},123,0.0
11a_233,,0,173,1,{0},173,0.0
11a_239,,-2,195,1,{2},195,0.0
11a_240,,-8,61,1,{8},61,0.0
11a_241,,-6,95,1,{6},95,0.0
11a_244,,-6,147,1,{6},147,0.0
11a_245,,-6,75,1,{6},75,0.0
11a_248,,2,159,1,{-2},159,0.0
11a_249,,0,117,1,{0},117,0.0
11a_250,,-4,85,1,{4},85,0.0
11a_251,,0,133,1,{0},133,0.0
11a_252,,-2,131,1,{2},131,0.0
11a_253,,0,133,1,{0},133,0.0
11a_254,,-2,131,1,{2},131,0.0
11a_255,,2,143,1,{-2},143,0.0
11a_256,,0,133,1,{0},133,0.0
11a_257,,0,97,1,{0},97,0.0
11a_258,,-2,75,1,{2},75,0.0
11a_259,,-6,79,1,{6},79,0.0
11a_260,,-4,69,1,{4},69,0.0
11a_261,,4,129,1,{-4},129,0.0
11a_262,,2,107,1,{-2},107,0.0
11a_264,,-2,135,1,{2},135,0.0
11a_265,,0,109,1,{0},109,0.0
11a_266,,0,209,1,{0},209,0.0
11a_267,,2,191,1,{-2},191,0.0
11a_268,,-2,139,1,{2},139,0.0
11a_269,,-2,151,1,{2},151,0.0
11a_274,,0,165,1,{0},165,0.0
11a_277,,-2,135,1,{2},135,0.0
11a_278,,0,141,1,{0},141,0.0
11a_281,,-2,155,1,{2},155,0.0
11a_282,,2,127,1,{-2},127,0.0
11a_284,,-2,179,1,{2},179,0.0
11a_286,,-2,147,1,{2},147,0.0
11a_287,,0,181,1,{0},181,0.0
11a_288,,0,205,1,{0},205,0.0
11a_289,,0,145,1,{0},145,0.0
11a_291,,-6,99,1,{6},99,0.0
11a_293,,4,81,1,{-4},81,0.0
11a_298,,-6,131,1,{6},131,0.0
11a_300,,0,153,1,{0},153,0.0
11a_301,,2,199,1,{-2},199,0.0
11a_302,,4,161,1,{-4},161,0.0
11a_305,,2,135,1,{-2},135,0.0
11a_314,,-2,171,1,{2},171,0.0
11a_315,,0,157,1,{0},157,0.0
11a_316,,0,121,1,{0},121,0.0
11a_318,,-6,135,1,{6},135,0.0
11a_319,,-6,119,1,{6},119,0.0
11a_323,,2,83,1,{-2},83,0.0
11a_326,,0,169,1,{0},169,0.0
11a_330,,4,89,1,{-4},89,0.0
11a_332,,0,189,1,{0},189,0.0
11a_338,,-8,69,1,{8},69,0.0
11a_340,,-6,87,1,{6},87,0.0
11a_346,,-4,93,1,{4},93,0.0
11a_348,,-4,145,1,{4},145,0.0
11a_349,,-2,155,1,{2},155,0.0
11a_350,,0,185,1,{0},185,0.0
11a_351,,0,165,1,{0},165,0.0
11a_353,,-6,123,1,{6},123,0.0
11n_1,,2,27,1,{-2},27,0.0
11n_3,,2,43,1,{-2},43,0.0
11n_4,,0,49,1,{0},49,0.0
11n_5,,-2,71,1,{2},71,0.0
11n_7,,-2,67,1,{2},67,0.0
11n_8,,4,53,1,{-4},53,0.0
11n_10,,4,65,1,{-4},65,0.0
11n_11,,-2,55,1,{2},55,0.0
11n_14,,4,45,1,{-4},45,0.0
11n_15,,-2,35,1,{2},35,0.0
11n_17,,2,47,1,{-2},47,0.0
11n_18,,0,33,1,{0},33,0.0
11n_21,,0,49,1,{0},49,0.0
11n_22,,-2,55,1,{2},55,0.0
11n_25,,-2,47,1,{2},47,0.0
11n_26,,0,41,1,{0},41,0.0
11n_28,,0,21,1,{0},21,0.0
11n_29,,-2,51,1,{2},51,0.0
11n_32,,0,69,1,{0},69,0.0
11n_33,,-2,51,1,{2},51,0.0
11n_35,,-4,89,1,{4},89,0.0
11n_37,,0,25,1,{0},25,0.0
11n_40,,-2,79,1,{2},79,0.0
11n_43,,-4,89,1,{4},89,0.0
11n_46,,-2,79,1,{2},79,0.0
11n_48,,0,29,1,{0},29,0.0
11n_50,,0,25,1,{0},25,0.0
11n_51,,0,29,1,{0},29,0.0
11n_52,,-2,59,1,{2},59,0.0
11n_53,,0,37,1,{0},37,0.0
11n_54,,-2,43,1,{2},43,0.0
11n_55,,0,61,1,{0},61,0.0
11n_56,,-2,35,1,{2},35,0.0
11n_58,,2,35,1,{-2},35,0.0
11n_59,,-4,53,1,{4},53,0.0
11n_62,,0,33,1,{0},33,0.0
11n_63,,-2,39,1,{2},39,0.0
11n_65,,0,33,1,{0},33,0.0
11n_66,,-2,75,1,{2},75,0.0
11n_68,,-2,63,1,{2},63,0.0
11n_71,,-2,63,1,{2},63,0.0
11n_72,,-4,81,1,{4},81,0.0
11n_75,,2,63,1,{-2},63,0.0
11n_83,,0,49,1,{0},49,0.0
11n_84,,2,35,1,{-2},35,0.0
11n_85,,0,45,1,{0},45,0.0
11n_86,,0,33,1,{0},33,0.0
11n_87,,2,51,1,{-2},51,0.0
11n_89,,4,61,1,{-4},61,0.0
11n_91,,2,31,1,{-2},31,0.0
11n_94,,0,57,1,{0},57,0.0
11n_98,,0,69,1,{0},69,0.0
11n_99,,2,39,1,{-2},39,0.0
11n_100,,0,45,1,{0},45,0.0
11n_101,,2,39,1,{-2},39,0.0
11n_103,,4,65,1,{-4},65,0.0
11n_105,,-4,69,1,{4},69,0.0
11n_106,,2,27,1,{-2},27,0.0
11n_108,,4,73,1,{-4},73,0.0
11n_109,,4,57,1,{-4},57,0.0
11n_110,,0,41,1,{0},41,0.0
11n_112,,-2,55,1,{2},55,0.0
11n_113,,2,35,1,{-2},35,0.0
11n_114,,0,53,1,{0},53,0.0
11n_115,,0,77,1,{0},77,0.0
11n_117,,-2,35,1,{2},35,0.0
11n_119,,0,69,1,{0},69,0.0
11n_121,,4,45,1,{-4},45,0.0
11n_122,,2,27,1,{-2},27,0.0
11n_123,,0,57,1,{0},57,0.0
11n_124,,-2,59,1,{2},59,0.0
11n_125,,-2,63,1,{2},63,0.0
11n_127,,2,55,1,{-2},55,0.0
11n_128,,-2,43,1,{2},43,0.0
11n_129,,2,43,1,{-2},43,0.0
11n_130,,0,53,1,{0},53,0.0
11n_131,,2,67,1,{-2},67,0.0
11n_132,,0,25,1,{0},25,0.0
11n_134,,2,47,1,{-2},47,0.0
11n_136,,-6,63,1,{6},63,0.0
11n_137,,4,57,1,{-4},57,0.0
11n_139,,0,9,1,{0},9,0.0
11n_142,,0,33,1,{0},33,0.0
11n_144,,-4,65,1,{4},65,0.0
11n_146,,-2,63,1,{2},63,0.0
11n_154,,-2,79,1,{2},79,0.0
11n_156,,0,77,1,{0},77,0.0
11n_157,,0,65,1,{0},65,0.0
11n_159,,2,71,1,{-2},71,0.0
11n_160,,-2,67,1,{2},67,0.0
11n_163,,-2,91,1,{2},91,0.0
11n_164,,-4,45,1,{4},45,0.0
11n_165,,0,85,1,{0},85,0.0
11n_167,,-2,63,1,{2},63,0.0
11n_168,,-2,75,1,{2},75,0.0
11n_172,,0,49,1,{0},49,0.0
11n_174,,-4,97,1,{4},97,0.0
11n_176,,2,63,1,{-2},63,0.0
11n_178,,-2,95,1,{2},95,0.0
11n_179,,0,77,1,{0},77,0.0
11n_180,,-6,55,1,{6},55,0.0
11n_184,,-2,87,1,{2},87,0.0
11n_185,,-4,105,1,{4},105,0.0
