Name,Two-Bridge Notation,Signature,Determinant,Planar Support,Delta Values,Size of Homology,Parity
11a_186,95/39,-6,95,1,{6},95,0.0
11a_188,67/14,-2,67,1,{2},67,0.0
11a_190,85/67,0,85,1,{0},85,0.0
11a_191,83/19,-6,83,1,{6},83,0.0
11a_193,95/66,2,95,1,{-2},95,0.0
11a_195,53/8,0,53,1,{0},53,0.0
11a_203,63/11,-6,63,1,{6},63,0.0
11a_204,101/71,-4,101,1,{4},101,0.0
11a_205,91/66,2,91,1,{-2},91,0.0
11a_206,47/40,6,47,1,{-6},47,0.0
11a_207,85/26,4,85,1,{-4},85,0.0
11a_208,105/74,4,105,1,{-4},105,0.0
11a_210,73/16,0,73,1,{0},73,0.0
11a_211,67/12,2,67,1,{-2},67,0.0
11a_220,85/23,-4,85,1,{4},85,0.0
11a_224,89/27,-4,89,1,{4},89,0.0
11a_225,53/42,4,53,1,{-4},53,0.0
11a_226,71/20,2,71,1,{-2},71,0.0
11a_229,71/55,-2,71,1,{2},71,0.0
11a_230,51/43,-2,51,1,{2},51,0.0
11a_234,37/5,-8,37,1,{8},37,0.0
11a_235,71/49,-6,71,1,{6},71,0.0
11a_236,99/29,-6,99,1,{6},99,0.0
11a_242,47/9,-6,47,1,{6},47,0.0
11a_306,105/76,4,105,1,{-4},105,0.0
11a_307,83/18,2,83,1,{-2},83,0.0
11a_308,71/15,-6,71,1,{6},71,0.0
11a_309,93/25,-4,93,1,{4},93,0.0
11a_310,61/47,-4,61,1,{4},61,0.0
11a_311,79/61,-2,79,1,{2},79,0.0
11a_333,65/14,0,65,1,{0},65,0.0
11a_334,49/9,-8,49,1,{8},49,0.0
11a_335,75/17,-6,75,1,{6},75,0.0
11a_336,59/11,-6,59,1,{6},59,0.0
11a_339,55/13,-6,55,1,{6},55,0.0
11a_355,45/7,-8,45,1,{8},45,0.0
11a_356,79/55,-6,79,1,{6},79,0.0
11a_357,91/27,-6,91,1,{6},91,0.0
11a_358,31/5,-6,31,1,{6},31,0.0
11a_364,25/3,-8,25,1,{8},25,0.0
11a_365,51/35,-6,51,1,{6},51,0.0
11a_367,11/1,-10,11,1,{10},11,1.0
