Alternating,Fibered,Crossing Number,Unknotting Number,Genus-3D,Crosscap Number,Bridge Index,Braid Index,Braid Length,Signature,Nakanishi Index,Arc Index,Tunnel Number,Morse-Novikov Number,Genus-4D,Genus-4D (Top.),Concordance Genus,Determinant,Rasmussen s,Ozsvath-Szabo tau,Volume,Arf Invariant,Turaev Genus,Small or Large,Positive Braid,Positive,SQ-Positive,Q-Positive,Width,L-space,Epsilon,Quasialternating,Almost Alternating,Double Slice Genus
1.0,0.0,8.0,2.0,2.0,3.0,2.0,4.0,9.0,0.0,1.0,10.0,1.0,2.0,0.0,0.0,0.0,25.0,0.0,0.0,7.801341224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,1.0
1.0,1.0,8.0,1.0,3.0,3.0,2.0,3.0,8.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,7.588180224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,1.0
1.0,1.0,8.0,2.0,3.0,3.0,3.0,3.0,8.0,2.0,1.0,10.0,1.0,0.0,1.0,1.0,1.0,27.0,-2.0,-1.0,8.651148558,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,-1.0,1.0,0.0,2.0
1.0,0.0,8.0,1.0,2.0,3.0,2.0,4.0,9.0,-2.0,1.0,10.0,1.0,2.0,1.0,1.0,1.0,27.0,2.0,1.0,8.286316818,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,2.0
1.0,1.0,8.0,2.0,2.0,4.0,2.0,5.0,8.0,0.0,1.0,10.0,1.0,0.0,1.0,1.0,2.0,29.0,0.0,0.0,8.935856928,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,2.0
1.0,0.0,8.0,1.0,2.0,3.0,2.0,4.0,9.0,0.0,1.0,10.0,1.0,2.0,1.0,1.0,2.0,29.0,0.0,0.0,8.531232202,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,2.0
1.0,0.0,8.0,1.0,2.0,4.0,2.0,4.0,9.0,-2.0,1.0,10.0,1.0,2.0,1.0,1.0,2.0,31.0,2.0,1.0,9.217800316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,2.0
1.0,0.0,8.0,2.0,2.0,4.0,3.0,4.0,9.0,-4.0,1.0,10.0,1.0,2.0,2.0,2.0,2.0,33.0,4.0,2.0,9.930648294,0.0,0.0,0.0,0.0,1.0,1.0,1.0,18.0,0.0,1.0,1.0,0.0,4.0
1.0,1.0,8.0,2.0,3.0,3.0,3.0,3.0,8.0,2.0,1.0,10.0,2.0,0.0,1.0,1.0,3.0,35.0,-2.0,-1.0,10.57902192,1.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,-1.0,1.0,0.0,2.0
1.0,1.0,8.0,1.0,3.0,4.0,3.0,3.0,8.0,0.0,1.0,10.0,2.0,0.0,1.0,1.0,3.0,37.0,0.0,0.0,10.98590761,1.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,1.0,0.0,2.0
1.0,1.0,8.0,2.0,3.0,4.0,3.0,3.0,8.0,0.0,2.0,10.0,2.0,0.0,1.0,1.0,3.0,45.0,0.0,0.0,12.35090621,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,1.0,0.0,2.0
0.0,1.0,8.0,3.0,3.0,2.0,3.0,3.0,8.0,-6.0,1.0,7.0,1.0,0.0,3.0,3.0,3.0,3.0,6.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,0.0,1.0,6.0
0.0,1.0,8.0,1.0,2.0,2.0,3.0,3.0,8.0,0.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,4.124903252,0.0,1.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,1.0,1.0,1.0
0.0,1.0,8.0,1.0,2.0,3.0,3.0,3.0,8.0,-2.0,1.0,8.0,1.0,0.0,1.0,1.0,2.0,15.0,2.0,1.0,6.78371352,0.0,1.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,1.0,1.0,1.0,2.0
1.0,1.0,9.0,4.0,4.0,1.0,2.0,2.0,9.0,-8.0,1.0,11.0,1.0,0.0,4.0,4.0,4.0,9.0,8.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,0.0,8.0
1.0,0.0,9.0,1.0,1.0,2.0,2.0,5.0,12.0,-2.0,1.0,11.0,1.0,2.0,1.0,1.0,1.0,15.0,2.0,1.0,3.486660146,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,0.0,1.0,1.0,0.0,2.0
1.0,0.0,9.0,3.0,3.0,2.0,2.0,3.0,10.0,-6.0,1.0,11.0,1.0,2.0,3.0,3.0,3.0,19.0,6.0,3.0,4.994856404,1.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,0.0,1.0,1.0,0.0,6.0
1.0,0.0,9.0,2.0,2.0,2.0,2.0,4.0,11.0,-4.0,1.0,11.0,1.0,2.0,2.0,2.0,2.0,21.0,4.0,2.0,5.556518816,1.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,0.0,1.0,1.0,0.0,4.0
1.0,0.0,9.0,2.0,1.0,3.0,2.0,5.0,12.0,-2.0,1.0,11.0,1.0,2.0,1.0,1.0,1.0,23.0,2.0,1.0,5.698441751,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,0.0,1.0,1.0,0.0,2.0
1.0,0.0,9.0,3.0,3.0,3.0,2.0,3.0,10.0,-6.0,1.0,11.0,1.0,2.0,3.0,3.0,3.0,27.0,6.0,3.0,7.203600762,1.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,0.0,1.0,1.0,0.0,6.0
1.0,0.0,9.0,2.0,2.0,3.0,2.0,4.0,11.0,-4.0,1.0,11.0,1.0,2.0,2.0,2.0,2.0,29.0,4.0,2.0,8.014861458,1.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,0.0,1.0,1.0,0.0,4.0
1.0,0.0,9.0,2.0,2.0,3.0,2.0,5.0,10.0,-2.0,1.0,11.0,1.0,2.0,1.0,1.0,2.0,31.0,2.0,1.0,8.192347962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,2.0
1.0,0.0,9.0,3.0,3.0,3.0,2.0,3.0,10.0,-6.0,1.0,11.0,1.0,2.0,3.0,3.0,3.0,31.0,6.0,3.0,8.016815566,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,0.0,1.0,1.0,0.0,6.0
1.0,0.0,9.0,3.0,2.0,3.0,2.0,4.0,11.0,-4.0,1.0,11.0,1.0,2.0,2.0,2.0,2.0,33.0,4.0,2.0,8.773457282,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,0.0,1.0,1.0,0.0,4.0
1.0,1.0,9.0,2.0,3.0,3.0,2.0,4.0,9.0,4.0,1.0,11.0,1.0,0.0,2.0,2.0,3.0,33.0,-4.0,-2.0,8.288589043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,-1.0,1.0,0.0,4.0
1.0,0.0,9.0,1.0,2.0,3.0,2.0,5.0,10.0,-2.0,1.0,11.0,1.0,2.0,1.0,1.0,2.0,35.0,2.0,1.0,8.836642344,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,2.0
1.0,0.0,9.0,3.0,2.0,3.0,2.0,4.0,11.0,-4.0,1.0,11.0,1.0,2.0,2.0,2.0,2.0,37.0,4.0,2.0,9.135094038,1.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,0.0,1.0,1.0,0.0,4.0
1.0,0.0,9.0,1.0,2.0,3.0,2.0,5.0,10.0,0.0,1.0,11.0,1.0,2.0,1.0,1.0,2.0,37.0,0.0,0.0,8.954989262,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,2.0
1.0,0.0,9.0,2.0,2.0,4.0,2.0,5.0,10.0,2.0,1.0,11.0,1.0,2.0,1.0,1.0,2.0,39.0,-2.0,-1.0,9.88549866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,-1.0,1.0,0.0,2.0
1.0,0.0,9.0,3.0,3.0,3.0,3.0,3.0,10.0,-6.0,1.0,11.0,1.0,2.0,3.0,3.0,3.0,39.0,6.0,3.0,9.88300696,0.0,0.0,0.0,0.0,1.0,1.0,1.0,18.0,0.0,1.0,1.0,0.0,6.0
1.0,1.0,9.0,2.0,3.0,3.0,2.0,4.0,9.0,-2.0,1.0,11.0,1.0,0.0,1.0,1.0,3.0,39.0,2.0,1.0,9.474580454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,2.0
1.0,0.0,9.0,2.0,2.0,4.0,2.0,4.0,11.0,-4.0,1.0,11.0,1.0,2.0,2.0,2.0,2.0,41.0,4.0,2.0,10.05772964,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,0.0,1.0,1.0,0.0,4.0
1.0,0.0,9.0,1.0,2.0,4.0,2.0,5.0,10.0,0.0,1.0,11.0,1.0,2.0,1.0,1.0,2.0,41.0,0.0,0.0,10.03254745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,2.0
1.0,1.0,9.0,2.0,3.0,3.0,2.0,4.0,9.0,-4.0,1.0,11.0,1.0,0.0,2.0,2.0,3.0,41.0,4.0,2.0,9.644304074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,4.0
1.0,0.0,9.0,1.0,2.0,4.0,2.0,5.0,10.0,2.0,1.0,11.0,1.0,2.0,1.0,1.0,2.0,43.0,-2.0,-1.0,10.18326554,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,-1.0,1.0,0.0,2.0
1.0,1.0,9.0,1.0,3.0,3.0,3.0,4.0,9.0,-2.0,1.0,11.0,1.0,0.0,1.0,1.0,3.0,43.0,2.0,1.0,10.62072702,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,1.0,0.0,2.0
1.0,0.0,9.0,2.0,2.0,4.0,2.0,4.0,11.0,-4.0,1.0,11.0,1.0,2.0,2.0,2.0,2.0,45.0,4.0,2.0,10.61134829,1.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,0.0,1.0,1.0,0.0,4.0
1.0,1.0,9.0,1.0,3.0,4.0,3.0,4.0,9.0,0.0,1.0,11.0,1.0,0.0,1.0,1.0,1.0,45.0,0.0,0.0,10.83372911,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,1.0,0.0,2.0
1.0,0.0,9.0,2.0,2.0,4.0,3.0,5.0,10.0,-2.0,1.0,11.0,1.0,2.0,1.0,1.0,2.0,47.0,2.0,1.0,11.39030515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,1.0,0.0,2.0
1.0,1.0,9.0,1.0,3.0,4.0,2.0,4.0,9.0,2.0,1.0,11.0,1.0,0.0,1.0,1.0,3.0,47.0,-2.0,-1.0,10.59584052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,-1.0,1.0,0.0,2.0
1.0,1.0,9.0,1.0,3.0,4.0,2.0,4.0,9.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,10.99998096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,1.0
1.0,1.0,9.0,1.0,3.0,4.0,3.0,4.0,9.0,-2.0,1.0,11.0,1.0,0.0,1.0,1.0,3.0,51.0,2.0,1.0,11.56317702,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,1.0,0.0,2.0
1.0,1.0,9.0,2.0,3.0,3.0,3.0,4.0,9.0,2.0,1.0,11.0,2.0,0.0,1.0,1.0,3.0,51.0,-2.0,-1.0,12.20585617,1.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,-1.0,1.0,0.0,2.0
1.0,1.0,9.0,1.0,3.0,4.0,3.0,4.0,9.0,0.0,1.0,11.0,1.0,0.0,1.0,1.0,3.0,53.0,0.0,0.0,11.95452697,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,1.0,0.0,2.0
1.0,1.0,9.0,2.0,3.0,4.0,2.0,4.0,9.0,-2.0,1.0,11.0,1.0,0.0,1.0,1.0,3.0,55.0,2.0,1.0,11.68631221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,2.0
1.0,1.0,9.0,2.0,3.0,4.0,3.0,4.0,9.0,2.0,1.0,11.0,2.0,0.0,1.0,1.0,3.0,59.0,-2.0,-1.0,13.09989985,1.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,-1.0,1.0,0.0,2.0
1.0,1.0,9.0,1.0,3.0,4.0,3.0,4.0,9.0,0.0,1.0,11.0,2.0,0.0,1.0,1.0,3.0,61.0,0.0,0.0,13.28045564,1.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,1.0,0.0,2.0
1.0,1.0,9.0,1.0,3.0,4.0,3.0,4.0,9.0,0.0,1.0,11.0,2.0,0.0,1.0,1.0,3.0,69.0,0.0,0.0,14.34458139,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,1.0,0.0,2.0
