Name,Two-Bridge Notation,Signature,Determinant,Planar Support,Delta Values,Size of Homology,Parity,d_1 Lee Grading,d_{-1} Lee Grading
9_18,41/17,-4,41,1,{4},41,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
9_19,41/16,0,41,1,{0},41,False,"[(0, 0, 0)]","[(0, 0, 0)]"
9_20,41/15,-4,41,1,{4},41,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
9_21,43/18,2,43,1,{-2},43,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
9_22,,-2,43,1,{2},43,False,"[(2, -2, 2), (-2, 2, 2)]","[(2, 2, -2), (-2, -2, 6)]"
9_23,45/19,-4,45,1,{4},45,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
9_24,,0,45,1,{0},45,False,"[(0, 0, 0)]","[(0, 0, 0)]"
9_25,,-2,47,1,{2},47,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
9_26,47/18,2,47,1,{-2},47,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
9_27,49/19,0,49,1,{0},49,False,"[(0, 0, 0)]","[(0, 0, 0)]"
9_28,,-2,51,1,{2},51,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
9_29,,2,51,1,{-2},51,False,"[(2, -2, -2), (-2, 2, -2)]","[(2, 2, -6), (-2, -2, 2)]"
9_30,,0,53,1,{0},53,False,"[(0, 0, 0)]","[(0, 0, 0)]"
9_31,55/21,-2,55,1,{2},55,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
9_32,,2,59,1,{-2},59,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
9_33,,0,61,1,{0},61,False,"[(0, 0, 0)]","[(0, 0, 0)]"
9_34,,0,69,1,{0},69,False,"[(0, 0, 0)]","[(0, 0, 0)]"
9_35,,-2,27,1,{2},27,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
9_36,,4,37,1,{-4},37,False,"[(4, -4, -4)]","[(-4, -4, 4)]"
9_37,,0,45,1,{0},45,False,"[(0, 0, 0)]","[(0, 0, 0)]"
9_38,,-4,57,1,{4},57,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
9_39,,2,55,1,{-2},55,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
9_40,,-2,75,1,{2},75,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
9_41,,0,49,1,{0},49,False,"[(0, 0, 0)]","[(0, 0, 0)]"
9_44,,0,17,1,{0},17,False,"[(0, 0, 0)]","[(0, 0, 0)]"
9_45,,2,23,1,{-2},23,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
9_46,,0,9,1,{0},9,False,"[(0, 0, 0)]","[(0, 0, 0)]"
9_48,,2,27,1,{-2},27,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
9_49,,-4,25,1,{4},25,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
10_1,17/15,0,17,1,{0},17,False,"[(0, 0, 0)]","[(0, 0, 0)]"
10_2,23/8,-6,23,1,{6},23,False,"[(-6, 6, 6)]","[(6, 6, -6)]"
10_3,25/6,0,25,1,{0},25,False,"[(0, 0, 0)]","[(0, 0, 0)]"
10_4,27/20,2,27,1,{-2},27,False,"[(-2, 2, -2), (2, -2, -2)]","[(-2, -2, 2), (2, 2, -6)]"
10_5,33/13,4,33,1,{-4},33,False,"[(4, -4, -4)]","[(-4, -4, 4)]"
10_6,37/16,-4,37,1,{4},37,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
10_7,43/16,-2,43,1,{2},43,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
10_8,29/6,-4,29,1,{4},29,False,"[(-4, 4, 4), (0, 0, 4)]","[(0, 0, 4), (4, 4, -4)]"
10_9,39/28,-2,39,1,{2},39,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
10_10,45/17,0,45,1,{0},45,False,"[(4, -4, 0), (0, 0, 0)]","[(0, 0, 0), (-4, -4, 8)]"
10_11,43/13,-2,43,1,{2},43,False,"[(2, -2, 2), (-2, 2, 2)]","[(2, 2, -2), (-2, -2, 6)]"
10_12,47/17,2,47,1,{-2},47,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
10_13,53/22,0,53,1,{0},53,False,"[(0, 0, 0)]","[(0, 0, 0)]"
10_14,57/22,-4,57,1,{4},57,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
10_15,43/19,2,43,1,{-2},43,False,"[(2, -2, -2), (-2, 2, -2)]","[(2, 2, -6), (-2, -2, 2)]"
10_16,47/33,-2,47,1,{2},47,False,"[(2, -2, 2), (-2, 2, 2)]","[(2, 2, -2), (-2, -2, 6)]"
10_17,41/9,0,41,1,{0},41,False,"[(0, 0, 0)]","[(0, 0, 0)]"
10_18,55/23,-2,55,1,{2},55,False,"[(2, -2, 2), (-2, 2, 2)]","[(2, 2, -2), (-2, -2, 6)]"
10_19,51/14,-2,51,1,{2},51,False,"[(2, -2, 2), (-2, 2, 2)]","[(2, 2, -2), (-2, -2, 6)]"
10_20,35/16,-2,35,1,{2},35,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
10_21,45/16,-4,45,1,{4},45,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
10_22,49/36,0,49,1,{0},49,False,"[(0, 0, 0), (-4, 4, 0)]","[(4, 4, -8), (0, 0, 0)]"
10_23,59/23,2,59,1,{-2},59,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
10_24,55/24,-2,55,1,{2},55,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
10_25,65/24,-4,65,1,{4},65,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
10_26,61/44,0,61,1,{0},61,False,"[(0, 0, 0), (-4, 4, 0)]","[(4, 4, -8), (0, 0, 0)]"
10_27,71/27,2,71,1,{-2},71,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
10_28,53/19,0,53,1,{0},53,False,"[(4, -4, 0), (0, 0, 0)]","[(0, 0, 0), (-4, -4, 8)]"
10_29,63/26,-2,63,1,{2},63,False,"[(2, -2, 2), (-2, 2, 2)]","[(2, 2, -2), (-2, -2, 6)]"
10_30,67/26,-2,67,1,{2},67,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
10_31,57/25,0,57,1,{0},57,False,"[(0, 0, 0)]","[(0, 0, 0)]"
10_32,69/29,0,69,1,{0},69,False,"[(0, 0, 0), (-4, 4, 0)]","[(4, 4, -8), (0, 0, 0)]"
10_33,65/18,0,65,1,{0},65,False,"[(0, 0, 0)]","[(0, 0, 0)]"
10_34,37/13,0,37,1,{0},37,False,"[(4, -4, 0), (0, 0, 0)]","[(0, 0, 0), (-4, -4, 8)]"
10_35,49/20,0,49,1,{0},49,False,"[(0, 0, 0)]","[(0, 0, 0)]"
10_36,51/20,-2,51,1,{2},51,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
10_37,53/23,0,53,1,{0},53,False,"[(0, 0, 0)]","[(0, 0, 0)]"
10_38,59/25,-2,59,1,{2},59,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
10_39,61/22,-4,61,1,{4},61,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
10_40,75/29,2,75,1,{-2},75,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
10_41,71/26,-2,71,1,{2},71,False,"[(2, -2, 2), (-2, 2, 2)]","[(2, 2, -2), (-2, -2, 6)]"
10_42,81/31,0,81,1,{0},81,False,"[(0, 0, 0)]","[(0, 0, 0)]"
10_43,73/27,0,73,1,{0},73,False,"[(0, 0, 0)]","[(0, 0, 0)]"
10_44,79/30,-2,79,1,{2},79,False,"[(2, -2, 2), (-2, 2, 2)]","[(2, 2, -2), (-2, -2, 6)]"
10_45,89/34,0,89,1,{0},89,False,"[(0, 0, 0)]","[(0, 0, 0)]"
10_46,,-6,31,1,{6},31,False,"[(-6, 6, 6)]","[(6, 6, -6)]"
10_47,,4,41,1,{-4},41,False,"[(4, -4, -4)]","[(-4, -4, 4)]"
10_48,,0,49,1,{0},49,False,"[(0, 0, 0)]","[(0, 0, 0)]"
10_49,,-6,59,1,{6},59,False,"[(-6, 6, 6)]","[(6, 6, -6)]"
10_50,,-4,53,1,{4},53,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
10_51,,2,67,1,{-2},67,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
10_52,,-2,59,1,{2},59,False,"[(2, -2, 2), (-2, 2, 2)]","[(2, 2, -2), (-2, -2, 6)]"
10_53,,-4,73,1,{4},73,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
10_54,,2,47,1,{-2},47,False,"[(2, -2, -2), (-2, 2, -2)]","[(2, 2, -6), (-2, -2, 2)]"
10_55,,-4,61,1,{4},61,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
10_56,,-4,65,1,{4},65,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
10_57,,2,79,1,{-2},79,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
10_58,,0,65,1,{0},65,False,"[(0, 0, 0)]","[(0, 0, 0)]"
10_59,,-2,75,1,{2},75,False,"[(2, -2, 2), (-2, 2, 2)]","[(2, 2, -2), (-2, -2, 6)]"
10_60,,0,85,1,{0},85,False,"[(0, 0, 0)]","[(0, 0, 0)]"
10_61,,-4,33,1,{4},33,False,"[(-4, 4, 4), (0, 0, 4)]","[(0, 0, 4), (4, 4, -4)]"
10_62,,4,45,1,{-4},45,False,"[(4, -4, -4)]","[(-4, -4, 4)]"
10_63,,-4,57,1,{4},57,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
10_64,,-2,51,1,{2},51,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
10_65,,2,63,1,{-2},63,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
