8_17	aaBaBaBB	t^-4q^8 + 3t^-3q^6 + 5t^-2q^4 + 6t^-1q^2 + 7t^0q^0 + 6t^1q^-2 + 5t^2q^-4 + 3t^3q^-6 + t^4q^-8
8_18	aBaBaBaB	t^-4q^8 + 4t^-3q^6 + 6t^-2q^4 + 7t^-1q^2 + 9t^0q^0 + 7t^1q^-2 + 6t^2q^-4 + 4t^3q^-6 + t^4q^-8
8_19	aaabaaab	t^-5q^16 + t^-4q^12 + t^-3q^12 + t^-2q^10 + t^0q^6
8_20	aaaBAAAB	t^-1q^2 + 2t^0q^0 + t^1q^-2 + 2t^2q^-4 + t^3q^-6 + t^4q^-8 + t^5q^-10
8_21	aaabAAbb	t^-6q^14 + 2t^-5q^12 + 2t^-4q^10 + 3t^-3q^8 + 3t^-2q^6 + 2t^-1q^4 + 2t^0q^2
9_1	aaaaaaaaa	t^-9q^26 + t^-8q^24 + t^-7q^22 + t^-6q^20 + t^-5q^18 + t^-4q^16 + t^-3q^14 + t^-2q^12 + t^0q^8
9_2	aaabAbcBcdCd	t^-9q^20 + t^-8q^18 + t^-7q^16 + 2t^-6q^14 + 2t^-5q^12 + 2t^-4q^10 + 2t^-3q^8 + 2t^-2q^6 + t^-1q^4 + t^0q^2
9_3	aaaaaaabAb	t^-9q^24 + t^-8q^22 + 2t^-7q^20 + 3t^-6q^18 + 3t^-5q^16 + 3t^-4q^14 + 2t^-3q^12 + 2t^-2q^10 + t^-1q^8 + t^0q^6
9_4	aaaaabAbcBc	t^-9q^22 + t^-8q^20 + 2t^-7q^18 + 3t^-6q^16 + 3t^-5q^14 + 4t^-4q^12 + 3t^-3q^10 + 2t^-2q^8 + t^-1q^6 + t^0q^4
9_5	aabAbbcBcdCd	t^-9q^20 + t^-8q^18 + 2t^-7q^16 + 3t^-6q^14 + 3t^-5q^12 + 4t^-4q^10 + 3t^-3q^8 + 3t^-2q^6 + 2t^-1q^4 + t^0q^2
9_6	aaaaaabAbb	t^-9q^24 + 2t^-8q^22 + 3t^-7q^20 + 4t^-6q^18 + 5t^-5q^16 + 4t^-4q^14 + 3t^-3q^12 + 3t^-2q^10 + t^-1q^8 + t^0q^6
9_7	aaaabAbcBcc	t^-9q^22 + 2t^-8q^20 + 3t^-7q^18 + 4t^-6q^16 + 5t^-5q^14 + 5t^-4q^12 + 4t^-3q^10 + 3t^-2q^8 + t^-1q^6 + t^0q^4
9_8	aaBaBCbdCd	t^-5q^12 + 2t^-4q^10 + 3t^-3q^8 + 5t^-2q^6 + 5t^-1q^4 + 5t^0q^2 + 4t^1q^0 + 3t^2q^-2 + 2t^3q^-4 + t^4q^-6
